index;country_code;country;type;brand;bikes;trailer;roof_box
1;NL;Netherlands;Car;Volvo;1;0;0
2;NL;Netherlands;Car;Skoda;1;0;0
3;NL;Netherlands;Car;Volvo;1;0;0
4;NL;Netherlands;Car;Ford;1;0;0
5;NL;Netherlands;Car;Renault;1;0;0
6;NL;Netherlands;Car;Mercedes;1;0;0
7;NL;Netherlands;Car;Renault;1;0;0
8;FR;France;Car;Citroën;1;0;0
9;BE;Belgium;Car;BMW;1;0;0
10;BE;Belgium;Car;Dacia;1;0;0
11;BE;Belgium;Car;Peugeot;1;0;0
12;NL;Netherlands;Car;Volvo;0;0;1
13;NL;Netherlands;Car;Renault;0;0;1
14;NL;Netherlands;Car;Skoda;0;0;1
15;NL;Netherlands;Car;Jeep;0;0;1
16;NL;Netherlands;Car;BMW;0;0;1
17;NL;Netherlands;Car;Lynk & Co;0;0;1
18;NL;Netherlands;Car;Ford;0;0;1
19;NL;Netherlands;Car;Hyundai;0;0;1
20;NL;Netherlands;Car;Volkswagen;0;0;1
21;BE;Belgium;Car;Mercedes;0;0;1
22;NL;Netherlands;Car;Renault;0;0;0
23;NL;Netherlands;Car;Mercedes;0;0;0
24;NL;Netherlands;Car;Tesla;0;0;0
25;NL;Netherlands;Car;Audi;0;0;0
26;NL;Netherlands;Car;BMW;0;0;0
27;NL;Netherlands;Car;Mazda;0;0;0
28;NL;Netherlands;Car;Volkswagen;0;0;0
29;NL;Netherlands;Car;Tesla;0;0;0
30;NL;Netherlands;Car;Renault;0;0;0
31;NL;Netherlands;Car;Citroën;0;0;0
32;NL;Netherlands;Car;Volkswagen;0;0;0
33;NL;Netherlands;Car;Zeekr;0;0;0
34;NL;Netherlands;Car;Volkswagen;0;0;0
35;NL;Netherlands;Car;BMW;0;0;0
36;NL;Netherlands;Car;Volkswagen;0;0;0
37;NL;Netherlands;Car;Skoda;0;0;0
38;NL;Netherlands;Car;Ford;0;0;0
39;NL;Netherlands;Car;Jaguar;0;0;0
40;NL;Netherlands;Car;Ford;0;0;0
41;NL;Netherlands;Car;BMW;0;0;0
42;NL;Netherlands;Car;Mazda;0;0;0
43;NL;Netherlands;Car;Mazda;0;0;0
44;NL;Netherlands;Car;Volkswagen;0;0;0
45;NL;Netherlands;Car;Volvo;0;0;0
46;NL;Netherlands;Car;Skoda;0;0;0
47;NL;Netherlands;Car;Mazda;0;0;0
48;NL;Netherlands;Car;Citroën;0;0;0
49;NL;Netherlands;Car;BMW;0;0;0
50;NL;Netherlands;Car;Lynk & Co;0;0;0
51;NL;Netherlands;Car;Citroën;0;0;0
52;NL;Netherlands;Car;Kia;0;0;0
53;NL;Netherlands;Car;Seat;0;0;0
54;NL;Netherlands;Car;Volkswagen;0;0;0
55;FR;France;Car;Peugeot;0;0;0
56;FR;France;Car;Citroën;0;0;0
57;FR;France;Car;Peugeot;0;0;0
58;FR;France;Car;Renault;0;0;0
59;FR;France;Car;Renault;0;0;0
60;FR;France;Car;Mercedes;0;0;0
61;FR;France;Car;Volkswagen;0;0;0
62;FR;France;Car;Dacia;0;0;0
63;FR;France;Car;Citroën;0;0;0
64;FR;France;Car;Renault;0;0;0
65;FR;France;Car;Citroën;0;0;0
66;FR;France;Car;Audi;0;0;0
67;FR;France;Car;Hyundai;0;0;0
68;FR;France;Car;Citroën;0;0;0
69;FR;France;Car;Renault;0;0;0
70;FR;France;Car;Volkswagen;0;0;0
71;FR;France;Car;Volkswagen;0;0;0
72;FR;France;Car;Renault;0;0;0
73;FR;France;Car;Renault;0;0;0
74;FR;France;Car;Dacia;0;0;0
75;FR;France;Car;Opel;0;0;0
76;FR;France;Car;Audi;0;0;0
77;FR;France;Car;Volkswagen;0;0;0
78;FR;France;Car;Citroën;0;0;0
79;FR;France;Car;Citroën;0;0;0
80;FR;France;Car;Peugeot;0;0;0
81;FR;France;Car;Tesla;0;0;0
82;FR;France;Car;Volkswagen;0;0;0
83;FR;France;Car;Citroën;0;0;0
84;FR;France;Car;Opel;0;0;0
85;FR;France;Car;Dacia;0;0;0
86;FR;France;Car;Volkswagen;0;0;0
87;FR;France;Car;Skoda;0;0;0
88;FR;France;Car;Peugeot;0;0;0
89;FR;France;Car;Audi;0;0;0
90;FR;France;Car;Peugeot;0;0;0
91;FR;France;Car;Opel;0;0;0
92;FR;France;Car;Volkswagen;0;0;0
93;FR;France;Car;Peugeot;0;0;0
94;BE;Belgium;Car;Audi;0;0;0
95;BE;Belgium;Car;Renault;0;0;0
96;BE;Belgium;Car;Dacia;0;0;0
97;BE;Belgium;Car;Opel;0;0;0
98;BE;Belgium;Car;BMW;0;0;0
99;BE;Belgium;Car;Tesla;0;0;0
100;BE;Belgium;Car;BMW;0;0;0
101;BE;Belgium;Car;Audi;0;0;0
102;BE;Belgium;Car;Audi;0;0;0
103;BE;Belgium;Car;Volkswagen;0;0;0
104;BE;Belgium;Car;Skoda;0;0;0
105;BE;Belgium;Car;Tesla;0;0;0
106;BE;Belgium;Car;Audi;0;0;0
107;BE;Belgium;Car;Mercedes;0;0;0
108;BE;Belgium;Car;Mercedes;0;0;0
109;BE;Belgium;Car;BMW;0;0;0
110;BE;Belgium;Car;BMW;0;0;0
111;BE;Belgium;Car;BMW;0;0;0
112;DE;Germany;Car;Audi;0;0;0
113;LU;Luxembourg;Car;Audi;0;0;0
114;LU;Luxembourg;Car;Audi;0;0;0
115;NL;Netherlands;Camper;none;0;0;0
116;NL;Netherlands;Camper;none;0;0;0
117;NL;Netherlands;Camper;none;0;0;0
118;NL;Netherlands;Camper;none;1;0;0
119;DE;Germany;Camper;none;0;0;0
120;BE;Belgium;Camper;none;0;0;0
121;NL;Netherlands;Car;Volkswagen;0;1;0
122;BE;Belgium;Car;Audi;1;1;0
